class,title,description,source
Politics & Government,‘SNL’ asks: ‘Where in the world is Kellyanne Conway?’,‘SNL’ asks: ‘Where in the world is Kellyanne Conway?’,entertainment-weekly
Politics & Government,"‘SNL’: Host Chris Pine has to explain he’s not Evans, Hemsworth, or Pratt in opening monologue","‘SNL’: Host Chris Pine has to explain he’s not Evans, Hemsworth, or Pratt in opening monologue",entertainment-weekly
Technology,‘SNL’: Kate McKinnon and Alex Moffat parody ‘Morning Joe’ in cold open,‘SNL’: Kate McKinnon and Alex Moffat parody ‘Morning Joe’ in cold open,entertainment-weekly
Politics & Government,‘Alien: Covenant’: EW review,‘Alien: Covenant’: EW review,entertainment-weekly
Politics & Government,'Class' Recap: (Don't Know) Where the Heart Is,April goes to war — against herself and Corikinus,entertainment-weekly
Politics & Government,'Doctor Who' Recap: Little Grey (Jail) Cells,"Just as we’re pondering what could be behind the Doctor and Nardole’s mysteriously large vault doors, the show presents us with a couple more — all of which are located in Bill and her friend…",entertainment-weekly
Politics & Government,"Debra Messing, ‘Daily Show’ among winners at GLAAD Media Awards",The 'Will & Grace' star was honored with the Excellence in Media Award,entertainment-weekly
Politics & Government,What to Watch For as France Goes to the Polls to Elect a New President,Turnout will be important: The latest polls say about a quarter of France’s voters may abstain because they do not support either candidate.,google-news
Politics & Government,AP FACT CHECK: Squishy claims follow health care bill,"They promised you a rose garden, from the Rose Garden.",google-news
Politics & Government,"At Kentucky Derby, Always Dreaming Produces a Winner’s Circle Reunion Party","The jockey John Velazquez and the trainer Todd Pletcher, who started working together over 20 years ago, secured their second Kentucky Derby wins, but their first together.",google-news
Politics & Government,Canelo outclasses Chavez in shutout decision,"In control from start to finish, Canelo Alvarez dominated an outmatched Julio Cesar Chavez Jr. on Saturday night, winning every round on all three judges' scorecards to take a unanimous decision.",google-news
Politics & Government,"Amid Putin ‘bromance,’ Steven Seagal banned from Ukraine as national security threat",The “Under Siege” star is blacklisted from entering Ukraine for at least five years.,google-news
Technology,Alien: Covenant Review - IGN,Director Ridley Scott takes the Alien franchise back to its horror roots while finally tackling some Prometheus' lingering questions.,ign
Technology,"Samurai Jack: ""XCIX"" Review - IGN",Jack and Ashi face a fearsome foe. Let us know your thoughts!,ign
Sports,Ayesha Explained: Who Is the Guardians of the Galaxy Vol. 2 Character? - IGN,We break down the convoluted backstory of the golden villain Star-Lord and the gang will face next in Guardians of the Galaxy Vol. 2.,ign
Technology,"Doctor Who: ""Knock Knock"" Review - IGN","Doctor Who's ""Knock Knock"" is a nice mix of horror, humor, and monsters of the week amid an ultimately tragic tale.",ign
Sports,Things to Do First - The Division Wiki Guide - IGN,Things to Do First - The Division: This page covers important steps to take when first starting out as an Agent in Tom Clancy's The Division. It will cover specific missions to complet...,ign
Technology,Prey Exploit Allows Players to Create Unlimited Resources - IGN,You'll never run out of resources with this handy trick about an hour into the game.,ign
Politics & Government,Macron and Le Pen Face Off in French Election Pitting Vision of Globalization Against Nationalism,The French are voting in the deciding round of a presidential election that has sidelined mainstream parties and redrawn French politics as a contest between globalists and nationalists.,the-wall-street-journal
Politics & Government,"Steven Holcomb, Olympic Champion Bobsledder, Dies","Steven Holcomb, pilot of the gold-medal-winning “Night Train” sled at the 2010 Vancouver Games, was found dead in his room Saturday morning at the Olympic Training Center in Lake Placid, N.Y.",the-wall-street-journal
Politics & Government,"Smoke-filled pool halls are back in Mosul. After ISIS, ‘we seek joy.’",The militant group condemned the city’s many clubs as un-Islamic. But regulars are slowly coming back to play.,the-washington-post
Politics & Government,Always Dreaming pulls away on a soggy track to win 143rd Kentucky Derby,"Always Dreaming, ridden by jockey John Velazquez, held off Lookin at Lee and Battle of Midway down the stretch to claim the first leg of the Triple Crown.",the-washington-post
Politics & Government,Trump questions whether key funding source for historically black colleges is constitutional,It is the latest move in what some call a 'mixed record' by the GOP administration toward HBCUs.,the-washington-post
Politics & Government,SNL mocks the awkward tension on ‘Morning Joe’ — and takes a call from Trump’s ‘publicist’,"""Saturday Night Live” spoofed the real-life romance between “Morning Joe” co-hosts Mika Brzezinski and Joe Scarborough.",the-washington-post
Politics & Government,Alien: Covenant review: a terrifying return to horror that doesn’t quite click,Bloodier than you can believe,the-verge
Politics & Government,"Eliud Kipchoge Runs World’s Fastest Marathon, in Nike’s Special Shoes","The Olympic champion covered 26.2 miles in 2 hours 25 seconds in Italy, but the time will not count as a record, mainly because of rules regarding pace-setting.",the-new-york-times
Politics & Government,"Judy Woodruff, the Woman of the Hour","Though still mourning her “PBS NewsHour” co-anchor, Gwen Ifill, Ms. Woodruff continues to be a pioneering role model in journalism.",the-new-york-times
Politics & Government,"Fact Check: Rumors, Claims and Context on G.O.P. Health Bill","Many of the rumors surrounding the Republican health care bill — that it counts rape as an uninsurable pre-existing condition, for example — are overly simplistic.",the-new-york-times
Politics & Government,When That Feisty Neighbor Becomes the President,"As a businessman, Donald J. Trump peppered local officials in Florida with requests, and governments pushed back. Now, some approvals come more easily.",the-new-york-times
Politics & Government,Macron wins French election run-off,Emmanuel Macron is France's next president after a decisive win over Marine Le Pen - projected results.,bbc-news
Technology,Watch live TV coverage of French vote,"Emmanuel Macron will become the next French president, projections say.",bbc-news
Politics & Government,North Korea 'detains US citizen Kim Hak-song',"North Korea says it held the university worker on suspicion of ""hostile acts"" against the state.",bbc-news
Politics & Government,Amber Rudd won't say if immigration target to stay,The home secretary says to wait for the manifesto to see what the Conservatives' immigration goal is.,bbc-news
Politics & Government,Andrew Marr questions John McDonnell on Marxism,"The Shadow Chancellor said he was going to be the ""first socialist"" in the tradition of the Labour party"".",bbc-news
Politics & Government,Major search under way for speedboat off Galloway coast,"Two helicopters, coastguard teams and lifeboats are involved in the operation to find the missing men.",bbc-news
Politics & Government,Germany searches all army barracks for Nazi material,All German army barracks will be inspected after Nazi-era memorabilia was found at two.,bbc-news
Politics & Government,UK tourists hit by booking scams up by nearly a fifth,"The most common scams relate to plane tickets, online accommodation bookings and timeshare sales.",bbc-news
Technology,Arsenal 2-0 Manchester United,Arsenal end Manchester United's 25-match unbeaten run in the Premier League and keep up their hopes of a top-four spot.,bbc-sport
Technology,England v Ireland: Joe Root stars with bat and ball as hosts seal series at Lord's,England seal a series whitewash over Ireland in their two-match ODI contest courtesy of an 85-run victory at Lord's.,bbc-sport
Technology,Liverpool 0-0 Southampton,James Milner misses a penalty as Liverpool's Premier League top-four hopes are hit in a goalless draw against Southampton.,bbc-sport
Technology,Brentford 1-3 Blackburn Rovers,"Blackburn are relegated to League One on goal difference, despite beating Brentford, after Nottingham Forest and Birmingham win.",bbc-sport
Technology,Maria Sharapova to face Eugenie Bouchard at Madrid Open,Maria Sharapova will play Eugenie Bouchard after a first-round win at the Madrid Open on Sunday.,bbc-sport
Politics & Government,Badminton Horse Trials: Andrew Nicholson wins at the 36th attempt,"New Zealand's Andrew Nicholson wins the Badminton Horse Trials at the 36th attempt, two years after suffering a serous neck injury.",bbc-sport
Sports,Women's Super League One: Reading 2-3 Man City highlights,Manchester City survive a late scare to beat Reading 3-2 in the Women's Super League One Spring Series.,bbc-sport
Politics & Government,Formula 1: How did tiny Finland become an F1 giant?,Valtteri Bottas has become the fifth Finn to win an F1 race - not bad for a country of just 5.5m. But who do you think is the greatest?,bbc-sport
Politics & Government,Giro d'Italia: Fernando Gaviria takes overall lead after winning stage three,Columbian Fernando Gaviria wins stage three and takes the leader's jersey in a dramatic at the Giro d'Italia,bbc-sport
Politics & Government,Senate Republicans Plan Health Bill That Keeps Some of Obamacare,"Republican senators plan to write a health-care bill that could be radically different from the one passed last week by the House, including keeping some of the benefits and safeguards currently enshrined within Obamacare.",bloomberg
Politics & Government,"If Shutdown Needed to Fix Washington, ‘So Be It,’ Mulvaney Says","If it takes shutting down the U.S. government to fix a broken budget appropriations process, that’s acceptable to the White House, said budget director Mick Mulvaney.",bloomberg
Politics & Government,Sinclair Said Close to Buying Tribune for About $45 a Share,"Sinclair Broadcast Group Inc. is close to buying Tribune Media Co., a deal made possible after the Federal Communications Commission voted last month to ease a limit on TV-station ownership in the U.S.",bloomberg
Politics & Government,"Buffett Says His IBM Thesis Was Flawed, He Blew It on Google","Warren Buffett, who long shunned investments in technology stocks and then made an ill-fated bet on IBM, said that mistake shouldn’t discourage wagers on the broader industry.",bloomberg
Politics & Government,China's Deleveraging Bill Tops $500 Billion,How much pain can Chinese leaders stomach? It’s becoming a key question for investors as the government’s stepped up campaign to rein in financial leverage ripples through markets.,bloomberg
Politics & Government,‘Guardians Vol. 2’ Sends Summer Season Off to Fast Start,Chris Pratt and his band of oddball Marvel superheroes picked up right where they left off in the new “Guardians of the Galaxy Vol. 2.”,bloomberg
Politics & Government,North Korea Detains Another American Over Alleged Hostile Acts,"Seoul, South Korea (AP) -- North Korea on Sunday said it detained another American citizen over unspecified hostile acts against the country.",bloomberg
Politics & Government,"U.K. Accuses EU Chiefs of Meddling, Aggression to Skew Election",Prime Minister Theresa May’s U.K. government accused some European Union countries of wanting Britain to “fail” as her team stepped-up the attack on the bloc’s leaders in a push for votes in the British election.,bloomberg
Politics & Government,Can Wal-Mart’s Expensive New E-Commerce Operation Compete With Amazon?,A recent acquisition spree including Jet.com gives the retail giant much-needed digital chops.,bloomberg
Politics & Government,Emmanuel Macron wins French presidential election in landslide,"Emmanuel Macron won the French presidential election in a landslide on Sunday, becoming the youngest president in France's history.",business-insider
Politics & Government,Chains are banking on this new strategy to combat the restaurant apocalypse,"As customers skip out on eating out, chains are turning to a new solution: delivery.",business-insider
Politics & Government,'Most of benefits go to millionaires': George Stephanopoulos grills Paul Ryan over Republican healthcare bill,George Stephanopoulos grilled House Speaker Paul Ryan on Sunday over the American Health Care Act which narrowly passed the House on Thursday.,business-insider
Sports,"The inventor of the web Tim Berners-Lee on the future of the internet, 'fake news,' and why net neutrality is so important","Axel Springer CEO Mathias Döpfner sat down with Sir Tim Berners-Lee, the inventor of the World Wide Web, for a far-ranging conversation.",business-insider
Politics & Government,'There was no diversity': NBC host confronts Trump health secretary over why healthcare bill ceremony had so many white men,Andrea Mitchell confronted Tom Price over the lack of diversity at a ceremony in celebrating the passage of Republicans' healthcare bill in the House.,business-insider
Politics & Government,Macron’s campaign releases ad of pundits predicting an easy Hillary Clinton win to scare French people to vote,"""The worst is not impossible.""",business-insider
Politics & Government,Volvo is sticking with Uber to win the autonomous driving 'marathon',Volvo Cars of America CEO Lex Kerssemakers on South Carolina-built Volvos and self-driving cars.,business-insider
Politics & Government,Jared Kushner's family is trying to raise $150 million from Chinese investors in exchange for US visas,"The developers are seeking to raise $150 million, or 15.4 percent of funding for the project, from investors through the EB-5 visa program.",business-insider
Politics & Government,'Saturday Night Live' lampoons 'Morning Joe' hosts' engagement and 'Trumpcare',"The show's cold open featured several steamy moments between the ""Morning Joe"" hosts, much to the disgust of other panelists.",business-insider
Politics & Government,17 Animated Films That Had Amazing Messages For Adults,"'My Neighbor Totoro deals with some heavier subject matter in a way that feels light, but doesn't belittle it.'",buzzfeed
Politics & Government,French election: Live updates,The 2017 French presidential election comes to a head on Sunday as voters make their final choice: far-right candidate Marine Le Pen or her independent centrist rival Emmanuel Macron. Get the latest developments.,cnn
Politics & Government,France chooses its next president after bitter campaign,France is voting in the final act of one of the most tumultuous presidential election campaigns in the country's history.,cnn
Politics & Government,Emmanuel Macron's marriage proves politics is different in France,"Here's the simple love story of 15 year-old boy meets much older drama teacher in high school and eventually falls in love. His parents can't keep them apart, so years later the mother of three eventually divorces her husband and marries her former student. They flourish and then he runs for president when he's 39 and she's 64.",cnn
Politics & Government,Who is Marine Le Pen?,"Riding a global wave of populism, France's far-right National Front leader, Marine Le Pen, is convinced her time has finally come.",cnn
Politics & Government,"Democrats, don't get too giddy about 2018","Julian Zelizer writes that historically, the party in control of the White House suffers a big defeat in the midterm elections, but many factors could get in the way of a Democratic sweep",cnn
Politics & Government,Raul Labrador's worst week in Washington,House Republicans took a massive political risk this week: They passed unpopular legislation to reform and replace the Affordable Care Act with no sense of how much it would cost or how many Americans it would (or won't) cover. Or whether the Senate will even act on it.,cnn
Politics & Government,Kasich: Republican health care bill is 'inadequate',"Ohio Republican Gov. John Kasich slammed the GOP health care bill on CNN's ""State of the Union"" Sunday morning, calling it ""inadequate"" and saying his party was ""trying to fulfill a campaign promise"" in pushing it through.",cnn
Politics & Government,US citizen detained in North Korea,"North Korea has detained a US citizen on suspicion of acts against the Pyongyang regime, the state-run Korean Central News Agency reported Sunday.",cnn
Politics & Government,‘One Tree Hill’ cast reunites in cute photo,‘One Tree Hill’ cast reunites in cute photo,entertainment-weekly
Politics & Government,'Saturday Night Live' Recap: Chris Pine Gets Musical,LCD Soundsystem were the night’s musical guests,entertainment-weekly
Politics & Government,'Sense8' Recap: From Queer to Eternity,"Lito conquers gay Hollywood, and Capheus makes an explosive political debut.",entertainment-weekly
Politics & Government,‘Alien: Covenant’ reviews: Ridley Scott returns to the series’ roots,‘Alien: Covenant’ reviews: Ridley Scott returns to the series’ roots,entertainment-weekly
Politics & Government,’13 Reasons Why’ renewed for season 2,’13 Reasons Why’ renewed for season 2,entertainment-weekly
Politics & Government,Nicki Minaj just paid for some fans’ school tuitions,Nicki Minaj just paid for some fans’ school tuitions,entertainment-weekly
Technology,See LCD Soundsystem play their two new songs on ‘SNL’,"The band performed 'Call the Police' and 'American Dream,' both released earlier this week",entertainment-weekly
Politics & Government,'Sense8' Recap: Nomi Makes for a Bad Bridesmaid,The cluster takes a break from BPO to face tragedies and triumphs at home.,entertainment-weekly
Politics & Government,‘The Arrangement’ finale: Showrunner teases Megan’s ‘exploration of self’,"'There's plenty of time for Terence to be evil,' Jonathan Abrahams tells EW",entertainment-weekly
Politics & Government,Macron to become next French president after beating back Le Pen and her populist tide,"Macron, a centrist, won what appeared to be a decisive victory. Far-right leader Le Pen has conceded.",google-news
Politics & Government,"As some Republicans rush to defend House health bill, Senate GOP warily pauses",Senate Republicans are casting the House legislation as a mere stating point amid growing anxiety over its provisions.,google-news
Politics & Government,Trump Looms as Kushners Court Investors in China,"A day after wooing wealthy Chinese in Beijing, Jared Kushner’s family firm offered visas to another audience in exchange for investment in a project.",google-news
Politics & Government,"North Korea detains another U.S. citizen amid rising tensions, state media reports",North Korea on Sunday said it detained another American citizen over unspecified hostile acts against the country.,google-news
Politics & Government,New details emerge in horrific Penn State fraternity death,"Eighteen Pennsylvania State University students and a former fraternity at the school are facing charges in connection with the death of Beta Theta Pi pledge Timothy Piazza, who died after falling down stairs at the frat house during a pledge ceremony, a prosecutor said this morning, as she released",google-news
Politics & Government,"Hannover evacuates 50,000 over World War Two bombs",A tenth of the city's population leave their homes while multiple World War Two bombs are defused.,google-news
Politics & Government,Engaged Doctors Found Brutally Slain in Boston Penthouse Apartment,"Two engaged doctors were found slain — reportedly with their throats slit — in their penthouse apartment in Boston, officials said Sunday.",google-news
Politics & Government,Bill to declare Israel a Jewish state back on national agenda,"Israel's cabinet breathed new life on Sunday into efforts to anchor in law the country's status as a Jewish state,",google-news
Politics & Government,Trump tries to pressure Senate Republicans on health care,"President Donald Trump urged Senate Republicans on Sunday to “not let the American people down,” as the contentious debate over overhauling the U.S. health care systems shifts to Congress’ upper chamber, where a vote is potentially weeks, if not months, away.",google-news
Technology,Resident Evil Code Veronica X Releases for PS4 This Week - IGN,Capcom's classic horror title will be available in just a few days for those in North America and Europe.,ign
Technology,Daily Deals: $10 Udemy Online Learning Courses - IGN,"Amazon Free Shipping Threshold Reduced to $25, Prey PC for $37, Ooma Nationwide Calling for Life for $63.35",ign
Sports,Cheats and Secrets - Prey Wiki Guide - IGN,Cheats and Secrets - Prey: This page documents all known Cheats and Secrets found in Prey. Know of one that we don't? Add it below by hitting the EDIT button! If you're lacki...,ign
Sports,Legend of Zelda: Breath of the Wild DLC Details - IGN Daily Fix - IGN Video,"Breath of the Wild's first DLC pack details, get your first look at Xbox Scorpio's dev, and this week's biggest stories.",ign
Sports,13 Star Wars Expanded Universe Concepts That Have Become Canon - IGN,"Here are some of the most notable characters, ships, and locations from the Star Wars Expanded Universe to make the jump to canon.",ign
Politics & Government,Emmanuel Macron is elected as the next president of France,"Mr Macron, who never previously stood for election, faces a divided country and heavy expectations",the-economist
Politics & Government,What Emmanuel Macron’s home town says about him,"The French presidential favourite was shaped by Amiens, the place he outgrew",the-economist
Politics & Government,America’s food-truck industry is growing rapidly despite roadblocks,Restaurants need not fear the culinary competition,the-economist
Politics & Government,Emmanuel Macron Wins French Presidency,"Emmanuel Macron won the French presidency by a significant margin, a groundbreaking victory that launches the political novice’s push to overhaul France’s economy and reverse a tide of nationalism sweeping the European Union.",the-wall-street-journal
Politics & Government,Emmanuel Macron’s Projected Win in France Offers a Reprieve for the Euro,"While Marine Le Pen never offered a plausible path out of the euro and the EU, her critique of both was sound. Emmanuel Macron, the apparent winner of the French election, now has five years to prove her wrong, writes Greg Ip.",the-wall-street-journal
Politics & Government,French Election Victor Emmanuel Macron’s “New Deal” For Europe Faces Old German Doubts,Emmanuel Macron’s big idea for Europe is to deepen the euro currency union. But to get what he wants he will first have to convince a skeptical Germany.,the-wall-street-journal
Politics & Government,Macron Wins: Now Can Europe Do What Investors Want?,"Following Emmanuel Macron’s victory in the French presidential race, the next test will be whether the renewed sense of solidarity in European politics leads to progress on issues that have long dogged the economic bloc.",the-wall-street-journal
Politics & Government,Republicans Press Case for Health Bill as Senators Weigh Changes,Republicans on Sunday pressed their case that a House-approved health-care bill would improve the nation’s health-insurance system and said that changes in the Senate wouldn’t likely throw the legislation off-track.,the-wall-street-journal
Politics & Government,"As IPOs Pick Up, Big Startups Hold Out","The market for IPOs is rebounding, but high-profile startups like Uber and Airbnb are hanging back amid concerns their companies would be valued at less than private fundraising rounds.",the-wall-street-journal
Politics & Government,How Self-Driving Cars Could End Uber,"The mega-startup is facing its greatest existential threat: the disappearance of car-owning drivers caused by the rise of autonomous vehicles, writes Christopher Mims.",the-wall-street-journal
Politics & Government,"Trump’s Fiscal Plans, Fed’s Asset Unwinding Could Fuel Rate Rise",Two of the most powerful economic forces in Washington could be aligning in coming years to put considerable upward pressure on long-term interest rates.,the-wall-street-journal
Politics & Government,Next Phase of High-Tech Crops: Editing Their Genes,Monsanto is investing in gene editing in an effort to keep an edge over rival suppliers of high-tech crop seeds. But startups and established competitors like DuPont and Dow Chemical are also jumping into the technology.,the-wall-street-journal
Politics & Government,Kushner Cos. Pushes Investor Visas to Wealthy Chinese in Skyscraper Pitch,"Nicole Meyer, sister of senior Trump adviser Jared Kushner, is leading a marketing campaign targeting major Chinese cities for wealthy individuals to invest a combined $150 million in a New Jersey development for the chance to secure U.S. immigration rights.",the-wall-street-journal
Politics & Government,D.C. housing department forfeited millions as families struggled to find homes,"In a city gripped by a crisis in affordable housing, $15.8 million in federal funding was lost.",the-washington-post
Politics & Government,"Another American citizen is detained in North Korea, taking total to four",The detentions come amid heightened tensions between Washington and Pyongyang.,the-washington-post
Politics & Government,San Diego police kill 15-year-old who pointed a BB gun at officers,The teenager pulled a gun from his waistband as officers were getting out of their patrol cars.,the-washington-post
Politics & Government,SNL ridicules Kellyanne Conway in a remarkably short sketch,"""Where in the World Is Kellyanne Conway?"" isn't the game show you remember.",the-washington-post
Politics & Government,Warren Buffett slams Wells Fargo’s handling of massive sales scandal,Illegal sales practices at Wells Fargo spanned at least 15 years.,the-washington-post
Politics & Government,What’s it like getting married at Disney? It’s not always a fairy tale.,"For one couple, it was a “dream come true.” For another: “A massive mess.”",the-washington-post
Technology,"Thunder Snow, the horse that refused to run the Kentucky Derby, is doing fine",The Irish-bred colt is uninjured following one of the shakiest starts in Derby history.,the-washington-post
Politics & Government,Read a creepy excerpt from Stephen Graham Jones’ upcoming novella,Mapping the Interior is out on June 20th,the-verge
Politics & Government,"Why are some of sci-fi’s beloved female leads deadly, beautiful, and hopelessly naive?",I prefer my women as equals,the-verge
Politics & Government,"Families of the San Bernardino terrorist attack victims have filed a lawsuit against Facebook, Google and Twitter",They contend that the tech industry and its practices have been “instrumental to the rise of ISIS.”,the-verge
Politics & Government,"France Chooses a Leader, and Takes a Step Into the Unknown","In a deeply divided country, some ask whether either Emmanuel Macron or Marine Le Pen will have enough authority to actually govern.",the-new-york-times
Politics & Government,"Warren Buffett, at Berkshire Meeting, Condemns Republican Health Care Bill","At the annual shareholders meeting of his conglomerate, Warren Buffett criticized the health care overhaul as “a huge tax cut for guys like me.”",the-new-york-times
Politics & Government,Emmanuel Macron and Marine Le Pen: Profiles of the French Election Candidates,"As French voters head to the polls in the final round of an election that has already reshaped the political landscape, here’s a quick look at their choices.",the-wall-street-journal
Politics & Government,Marine Le Pen congratulates Emmanuel Macron on his victory in French presidential race,"But she has broadened the appeal of the National Front, and is poised to capitalize on the party’s growing power.",the-washington-post
Politics & Government,French election: Macron 'defeats Le Pen to become president',"The centrist Emmanuel Macron will become France's youngest president, projected results show.",bbc-news
Politics & Government,Five reasons why Macron won the French election,How was Emmanuel Macron - a man with no electoral experience - able to win the French presidency?,bbc-news
Politics & Government,Emmanuel Macron's irresistible charm,"Everything the president-elect has touched has turned to gold, but is he ready to lead the nation?",bbc-news
Politics & Government,French election: Who will Macron pick for prime minister?,"Speculation abounds over the president-elect's pick for prime minister, writes Lucy Williamson.",bbc-news
